ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_NR_AGEN;ENT_NR_CTRTER;ENT_NR_PL;ENT_DT_PL;ENT_ST_PL;ENT_DT_LBNDES;ENT_VL_SOLIC;ENT_VL_LIBER;ENT_ID_TIPIOF;ENT_VL_IOF;ENT_ID_CONCES;ENT_VL_CONCES;ENT_ID_OUTVLR;ENT_VL_OUTVLR;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20260215;1;1414;19;1041786;1;20240910;5;20240910;3851.42;3858.44;F;7.02;F;0;F;0;;;
20260215;1;1414;19;1041787;1;20240814;5;20240814;2115.48;2182.71;F;67.23;F;0;F;0;;;
20260215;1;1414;19;1041793;1;20240813;5;20240813;9049.99;9289.76;F;239.77;F;0;F;0;;;
20260215;1;1414;19;1041817;1;20240814;5;20240814;8758.69;9036.96;F;278.27;F;0;F;0;;;
20260215;1;1414;19;1041820;1;20240814;5;20240814;12296.16;12686.43;F;390.27;F;0;F;0;;;
20260215;1;1414;19;1041821;1;20240816;5;20240816;9484.13;9786.99;F;302.86;F;0;F;0;;;
20260215;1;1414;19;1041822;1;20240816;5;20240816;37683.63;38886.99;F;1203.36;F;0;F;0;;;
20260215;1;1414;19;1041841;1;20240815;5;20240815;3000;3095.16;F;95.16;F;0;F;0;;;
20260215;1;1414;19;1041843;1;20240815;5;20240815;21419.98;21546.59;F;126.61;F;0;F;0;;;
20260215;1;1414;19;1041844;1;20240815;5;20240815;13522.09;13608.38;F;86.29;F;0;F;0;;;
20260215;1;1414;19;1041845;1;20240815;5;20240815;1646.8;1699.09;F;52.29;F;0;F;0;;;
20260215;1;1414;19;1041846;1;20240814;5;20240814;2208.52;2278.69;F;70.17;F;0;F;0;;;
20260215;1;1414;19;1041938;1;20240816;5;20240816;4998.11;5157.72;F;159.61;F;0;F;0;;;
20260215;1;1414;19;1041954;1;20240814;5;20240814;4000;4127.08;F;127.08;F;0;F;0;;;
20260215;1;1414;19;1041981;1;20240814;5;20240814;15036.13;15059.19;F;23.06;F;0;F;0;;;
20260215;1;1414;19;1042053;1;20240815;5;20240815;29019.08;29903.99;F;884.91;F;0;F;0;;;
20260215;1;1414;19;1042115;1;20240816;5;20240816;10967.02;11317.26;F;350.24;F;0;F;0;;;
20260215;1;1414;19;1042116;1;20240816;5;20240816;5727.12;5906.67;F;179.55;F;0;F;0;;;
