ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_CD_CONV;ENT_NR_CPFCNPJ;ENT_NM_CONV;ENT_NM_CONVR;ENT_NM_END;ENT_NR_END;ENT_DS_COMPL;ENT_NM_BAIRRO;ENT_NM_CIDADE;ENT_SG_ESTADO;ENT_CD_PAIS;ENT_NR_CEP;ENT_NR_DDD;ENT_NR_TEL;ENT_NR_DDDCEL;ENT_NR_CEL;ENT_NR_DDDFAX;ENT_NR_FAX;ENT_NM_EMAIL;ENT_CD_INSTAN;ENT_CD_PODER;ENT_CD_INSAUT;ENT_TP_CLACV;ENT_TP_CONV;ENT_NR_DIACT;ENT_NR_DIAVCT;ENT_QT_CAREN;ENT_TP_DIAVCT;ENT_ID_CRBANC;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20251117;1;1414;28;2,22337E+12;AROTUBI COMPONENTES LTDA;AROTUBI COMP;RUA JOSÃ‰ FRANCISCO MILDEMBERG, SN;;;CIDADE INDUSTRIAL;CURITIBA;PR;;81350190;;;;;;;;;;;C;;15;31;;;;;;
20251117;1;1414;29;7,85724E+12;AROTUBI SISTEMAS PARA GÃS LTDA;AROTUBI SISTEMA;RUA JOSÃ‰ MENDES SOBRINHO, 570;;;CIDADE INDUSTRIAL;CURITIBA;PR;;81350000;;;;;;;;;;;C;;15;31;;;;;;
20251117;1;1414;30;7,91421E+13;MARINGA SOLDAS LTDA;MARINGA SOLDAS;RUA JOÃƒO ALVES, 285;;;CIDADE INDUSTRIAL;CURITIBA;PR;;81350110;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;31;7,64895E+13;INDUSTRIA DE PAPELÃƒO HORLLE LTDA;HORLLE2;RODOVIA DO CAFÃ‰, KM 102,7;;;FERRARIA;CAMPO LARGO;PR;;83608000;;;;;;;;;;;C;;20;21;;;;;;
20251117;1;1414;33;7,85673E+13;MODELO FERRAMENTARIA E ESTAMPARIA LTDA;MODELO;RUA PROF ALGACYR MUNHOS MADER, 2300;;;CIDADE INDUSTRIAL;CURITIBA;PR;;81310020;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;34;8,18942E+13;LISEGRAFF GRAFICA E EDITORA LTDA;LISEGRAFF1;RUA HENRIQUE MEHL, 416;;;UBERABA;CURITIBA;PR;;81560140;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;35;2,41267E+13;ELETROPOLAR IND E COM EIRELI;ELETROPOLAR;RUA JOÃƒO BETTEGA, 4800;;MÃ“DULO 7;CIDADE INDUSTRIAL;CURITIBA;PR;;81350000;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;36;7,62066E+13;MUNICIPIO DE FOZ DO IGUACU;PREF FOZ;PRACA GETULIO VARGAS, 280;;;CENTRO;FOZ DO IGUACU;PR;;85851340;;;;;;;;;;;C;;16;21;;;;;;
20251117;1;1414;37;8,32265E+12;FOZ PREVIDENCIA;PREV FOZ;AV. JUSCELINO KUBITSCHEK, 85;;;CENTRO;FOZ DO IGUACU;PR;;85851210;;;;;;;;;;;C;;16;21;;;;;;
20251117;1;1414;38;2,34571E+12;INSTITUTO DE TRANSPORTES E TRANSITO DE F;FOZTRANS;RUA EDGARD SCHIMMELPFENG, 43;;;CENTRO CIVICO;FOZ DO IGUACU;PR;;85863220;;;;;;;;;;;C;;16;21;;;;;;
20251117;1;1414;39;7,54314E+13;FUNDACAO CULTURAL DE FOZ DO IGUACU;FUND CULT FOZ;RUA BENJAMIN CONSTANT, 62;;;CENTRO;FOZ DO IGUACU;PR;;85851380;;;;;;;;;;;C;;16;21;;;;;;
20251117;1;1414;40;7,57321E+13;MUNICIPIO DE CAMBE;PREF CAMBE;RUA OTTO GAERTHNER, 65;;;CENTRO;CAMBE / PR;PR;;86181300;;;;;;;;;;;C;;21;21;;;;;;
20251117;1;1414;41;7,61798E+13;MUNICIPIO DE PALMEIRA;PREF PALMEIRA;PRACA MARECHAL FLORIANO PEIXOTO, 11;;;CENTRO;PALMEIRA;PR;;84130000;;;;;;;;;;;C;;11;21;;;;;;
20251117;1;1414;42;8,31023E+13;MUNICIPIO DE BRUSQUE;PREF BRUSQUE;PRACA DAS BANDEIRAS, 77;;;CENTRO;BRUSQUE / SC;SC;;88350051;;;;;;;;;;;C;;16;21;;;;;;
20251117;1;1414;43;8,30218E+13;MUNICIPIO DE CHAPECO;PREF CHAPECO;AV GETULIO VARGAS, 957;;S;CENTRO;CHAPECO;SC;;89812000;;;;;;;;;;;C;;15;21;;;;;;
